rule	ordinal	source	kr	en	jp	placeholders
Global subroutine: Perk Hud	13	manual-context	현재 라운드에 도움이 되는 재료 팩을 꺼냅니다\r\n팩은 칼로 뜯을 수 있습니다	Dispenses an ingredient pack for the current round\r\nOpen the pack with a knife	現在のラウンドに役立つ食材パックを出す\r\nパックはナイフで開封できる	
Global subroutine: Perk Hud	14	manual-context	제빙기까지 가지 않아도\r\n재료를 얼릴 수 있습니다	Shoots a freezing blast to\r\nfreeze ingredients anywhere	製氷機まで行かなくても\r\n食材を凍らせられる	
Global subroutine: Foot Hud	3	manual-context	공중에서 높게 점프하여\r\n높은 곳에 올라갈 수 있습니다	Jump high into the air\r\nto reach higher floors	空中へ高く跳び\r\n高い階へ移動できる	
Global subroutine: Foot Hud	4	manual-context	앞으로 빠르게 대시하는\r\n다재다능한 신발입니다	Versatile boots that let you\r\ndash quickly forward	前方へ素早くダッシュできる\r\n多用途なブーツ	
Global subroutine: Foot Hud	5	manual-context	주문서에 있는 음식을 들고 사용하면\r\n테이블 앞으로 순간이동합니다	Use while holding an ordered dish\r\nto teleport to its table	注文された料理を持って使うと\r\nそのテーブルの前へテレポートする	
Global subroutine: Load Progress	1	legacy-context	돌아오셨군요! 이전 데이터를 불러왔습니다!	Welcome Back! Your progress is restored!	おかえりなさいませ! セーブデータを読み込みました!	
Global routine: Super Drink!	0	manual-global	{0}fgC72BD4FF>기초적인 임플란트 가동.		{0}fgC72BD4FF>ザ・ワールド！時よ止まれ！	{0}
Player routine: serveBot	0	legacy-context	서빙볼	ServingBall	サービングボール	
Player routine: serveBot	2	legacy-context	서빙볼	ServingBall	サービングボール	
Global subroutine: Set Hint Text	0	legacy-remap	냉장고에 있는 재료로 요리하여 서빙해야 합니다!\r\n소고기를 팬이나 그릴에 구워 왼쪽 #테이블 번호에 맞는 손님에게 가져다주세요.	Cook dishes with ingredients from the Fridge.\r\nPan-fry or grill Beef, then serve it to the correct table	冷蔵庫の材料を使って料理を作り、お客様に提供してください！\r\n牛肉をフライパンまたはグリルで焼いて、正しいテーブルのお客様に届けてください。	
Global subroutine: Set Hint Text	1	manual-context	재료는 도마에서 썰거나 다져서 다른 요리를 만들 수 있습니다.\r\n썬 소고기를 팬이나 그릴에 구워주세요.	Slice or chop ingredients on the cutting board.\r\nPan-fry or grill Sliced Beef	材料はまな板で薄切りにしたり刻んだりすると、別の料理が作れます。\r\n薄切り牛肉をフライパンまたはグリルで焼いてみてください。	
Global subroutine: Set Hint Text	2	manual-context	재료의 손질과 각기 다른 조리기구의 활용으로 다양한 요리를 만들 수 있습니다.\r\n감자를 통째로 구우면 구운 감자가 되고...	The same ingredient can become different dishes.\r\nGrill a whole Potato to make Grilled Potato	材料を下ごしらえし、さまざまな調理器具を使い分けることで、多彩な料理が作れます。\r\nたとえば、ジャガイモを丸ごと焼くと焼きジャガイモになり…	
Global subroutine: Set Hint Text	3	manual-context	감자를 썰어서 팬에 올리면 볶은 감자가 되고...	Slice the Potato and cook it in a pan to make Stir-fried Potato...	ジャガイモを薄切りにしてフライパンで調理すると炒めジャガイモになり…	
Global subroutine: Set Hint Text	4	manual-context	썬 감자를 튀김기에 올리면 감자튀김이 되는 식입니다.\r\n어떤 느낌인지 감이 오셨나요?	Then put Sliced Potato in the Fryer to make French Fries.\r\nSee how the same Potato changes?	薄切りジャガイモをフライヤーに入れるとフライドポテトになります。\r\nだんだんコツがつかめてきましたか？	
Global subroutine: Set Hint Text	5	manual-context	어떤 재료는 강하게 내려치면 변하기도 합니다.\r\n감자를 솥에 쪄서 찐 감자를 관성을 이용해 바닥에 던져보세요.	Smashing can transform some ingredients.\r\nSteam a Potato, then slam the Steamed Potato onto the ground using momentum	食材の中には、強く叩くと変化するものもあります。\r\nジャガイモを鍋で蒸してから、勢いをつけて蒸しジャガイモを床に叩きつけてみてください。	
Global subroutine: Set Hint Text	6	manual-context	또한 일부 재료는 합칠 수 있습니다.\r\n삶은 파스타와 크림 소스를 맞대어 합쳐보세요.	Some ingredients can be combined.\r\nCombine Boiled Pasta with Cream Sauce	また、一部の食材は組み合わせることもできます。\r\nゆでパスタとクリームソースを合わせてみてください。	
Global subroutine: Set Hint Text	7	manual-context	토마토는 썰어서 솥에 찌면 토마토 소스를 만들 수 있지만..\r\n써는 대신 내려치면 더 빠르게 뭉갠 토마토로 만들 수 있습니다.	Slice a Tomato and steam it in the Pot to make Tomato Sauce.\r\nSmash a Tomato to make Mashed Tomato faster	トマトを薄切りにして鍋で蒸すと、トマトソースが作れますが…\r\n薄切りにする代わりに叩けば、もっと素早く潰したトマトにできます。	
Global subroutine: Set Hint Text	8	manual-context	손님에 따라 다른 특성들도 있습니다.\r\n대식가의 경우에는 점수를 더 많이 주지만 음식을 2번 서빙해야 합니다.	Customers have different traits.\r\nA Big Fat Customer gives more points but must be served twice	お客様にはそれぞれ異なる特性があります。\r\n大食いのお客様は高得点ですが、料理を2回提供する必要があります。	
Global subroutine: Set Hint Text	9	legacy-remap	다양한 레시피들의 조합법을 마스터하고 클리어에 도전하세요.\r\n행운을 빕니다!	Master the recipe combinations and clear the mode.\r\nGood luck!	さまざまなレシピの組み合わせをマスターして、クリアを目指してください。\r\n幸運を祈ります！	
Global subroutine: Set Hint Text	10	legacy-remap	썬 닭고기 + 튀김가루 > 튀김기	Sliced Chicken + Frying Mix > Fryer	薄切り鶏肉 + 天ぷら粉 > フライヤー	
Global subroutine: Set Hint Text	11	manual-global	닭고기 + 튀김가루 > 튀김기	Chicken + Frying Mix > Fryer	鶏肉 + 天ぷら粉 > フライヤー	
Global subroutine: Set Hint Text	12	manual-global	조각낸 닭고기 + 튀김가루 > 튀김기	Chopped Chicken + Frying Mix > Fryer	角切り鶏肉 + 天ぷら粉 > フライヤー	
Global subroutine: Set Hint Text	13	manual-global	모든 양념은 후라이드 치킨에 추가할 수 있습니다.\r\n간장 + 물엿	Any sauce can be added to Fried Chicken.\r\nSoy Sauce + Corn Syrup	フライドチキンには、どのソースも追加できます。\r\n醤油 + 水飴	
Global subroutine: Set Hint Text	14	manual-global	고추장 + 물엿	Red Pepper Paste + Corn Syrup	コチュジャン + 水飴	
Global subroutine: Set Hint Text	15	manual-global	고추장 + 간장 + 물엿	Red Pepper Paste + Soy Sauce + Corn Syrup	コチュジャン + 醤油 + 水飴	
Global subroutine: Set Hint Text	16	manual-global	썬 파 + 간장 소스	Sliced Green Onion + Sweet Soy Sauce	薄切りネギ + 醤油ソース	
Global subroutine: Set Hint Text	17	legacy-remap	튀긴 조각 닭 + 양념 소스 > 팬에 볶기	Chicken Nugget + Sweet&Spicy Sauce > Pan Fry	から揚げ + ヤンニョムソース > フライパンで炒める	
Global subroutine: Set Hint Text	18	legacy-remap	밀가루를 피자 도우가 될 때 까지 내려치세요.\r\n피자 도우 + 토마토 소스 + 피자 치즈 > 그릴에 굽기	Smash Flour until it becomes Flour Pizza Dough.\r\nFlour Pizza Dough + Tomato Sauce + Shredded Mozzarella > Grill	小麦粉をピザ生地になるまで叩いてください。\r\nピザ生地 + トマトソース + ピザ用チーズ > グリルで焼く	
Global subroutine: Set Hint Text	19	legacy-remap	모든 레시피를 확인할 수 있는 사이트를 참고하실 수 있습니다.\r\nhttps://ow-restaurant.com/ko	View all recipes on this website.\r\nhttps://ow-restaurant.com/en	すべてのレシピはこちらで確認できます。\r\nhttps://ow-restaurant.com/ja	
Global subroutine: Set Hint Text	21	manual-global	조심하세요! 자신보다 늦게 온 손님을 먼저 서빙하면 실패하는 손님 유형이 있습니다.	Some customers leave if you serve a later arrival first	後から来たお客様に先に料理を提供すると、帰ってしまうお客様もいます。	
Global subroutine: Set Hint Text	22	legacy-remap	이런 손님들은 주문서 순서대로 서빙하는걸 추천합니다.	Serve them in the order shown on the order slips	注文書に表示された順番で料理を提供してください。	
Global subroutine: Set Hint Text	23	legacy-remap	음식 평론가에게 좋은 평가를 받으면 많은 손님을 불러옵니다.	A positive review from the Food Critic attracts more customers	フード評論家から高評価を得ると、多くのお客様を呼び寄せます。	
Global subroutine: Set Hint Text	24	legacy-remap	푸드 파이터는 3개의 음식을 서빙해야 합니다.	A Competitive Eater must be served three dishes	フードファイターには料理を3回提供する必要があります。	
Global subroutine: Set Hint Text	26	manual-global	예약 손님은 입장 전에 미리 주문을 합니다.\r\n가운데 잠깐 표시되는 예약 메시지를 주의 깊게 보고 기억하세요!	A Reserved Customer orders before entering.\r\nRemember the reservation message briefly shown at the center of the screen	予約客は入場前に注文します。\r\n画面中央に短時間表示される予約メッセージを覚えてください。	
Global subroutine: Set Hint Text	27	manual-global	밀가루 반죽 을 자르고 다시 내려쳐 만두피를 만들 수 있습니다.	Cut Flour Dough, then smash it again to make Dumpling Wrapper	小麦粉生地を切り、もう一度叩くと餃子の皮を作れます。	
Global subroutine: Set Hint Text	28	manual-global	다진 파 + 으깬 두부 + 만두피 > 솥에 찌기	Minced Green Onion + Mashed Tofu + Dumpling Wrapper > Steam in Pot	刻みネギ + 潰した豆腐 + 餃子の皮 > 鍋で蒸す	
Global subroutine: Set Hint Text	29	manual-global	다진 파 + 으깬 두부 + 만두피 > 팬에 굽기	Minced Green Onion + Mashed Tofu + Dumpling Wrapper > Pan Fry	刻みネギ + 潰した豆腐 + 餃子の皮 > フライパンで焼く	
Global subroutine: Set Hint Text	30	manual-global	다진 파 + 으깬 두부 + 썬 당면 + 다진 돼지고기 + 만두피 > 솥에 찌기	Minced Green Onion + Mashed Tofu + Sliced Glass Noodles + Minced Pork + Dumpling Wrapper > Steam in Pot	刻みネギ + 潰した豆腐 + 切った春雨 + ポークミンチ + 餃子の皮 > 鍋で蒸す	
Global subroutine: Set Hint Text	31	manual-context	다진 파 + 다진 김치 + 썬 당면 + 다진 돼지고기 + 만두피 > 솥에 찌기	Minced Green Onion + Minced Kimchi + Sliced Glass Noodles + Minced Pork + Dumpling Wrapper > Steam in Pot	刻みネギ + 刻みキムチ + 切った春雨 + ポークミンチ + 餃子の皮 > 鍋で蒸す	
Global subroutine: Set Hint Text	32	legacy-remap	다진 소고기를 내려쳐 패티를 만들고 구워주세요.\r\n아래 빵 + 익힌 패티 + 윗 빵	Smash Minced Beef to make Raw Patty, then grill it.\r\nBottom Bun + Cooked Patty + Top Bun	牛ひき肉を叩いて生パティを作り、グリルで焼いてください。\r\n下バンズ + 焼いたパティ + 上バンズ	
Global subroutine: Set Hint Text	33	manual-global	아래 빵 + 익힌 패티 + 슬라이스 치즈 + 윗 빵	Bottom Bun + Cooked Patty + Sliced Cheese + Top Bun	下バンズ + 焼いたパティ + 薄切りチーズ + 上バンズ	
Global subroutine: Set Hint Text	34	manual-global	아래 빵 + 썬 양상추 + 썬 토마토 + 윗 빵	Bottom Bun + Sliced Lettuce + Sliced Tomato + Top Bun	下バンズ + 薄切りレタス + 薄切りトマト + 上バンズ	
Global subroutine: Set Hint Text	35	manual-global	아래 빵 + 썬 토마토 + 썬 양상추 + 슬라이스 치즈 + 윗 빵	Bottom Bun + Sliced Tomato + Sliced Lettuce + Sliced Cheese + Top Bun	下バンズ + 薄切りトマト + 薄切りレタス + 薄切りチーズ + 上バンズ	
Global subroutine: Set Hint Text	36	manual-global	아래 빵 + 익힌 패티 + 썬 양상추 + 썬 토마토 + 윗 빵	Bottom Bun + Cooked Patty + Sliced Lettuce + Sliced Tomato + Top Bun	下バンズ + 焼いたパティ + 薄切りレタス + 薄切りトマト + 上バンズ	
Global subroutine: Set Hint Text	37	legacy-remap	아래 빵 + 익힌 패티 + 슬라이스 치즈 + 썬 양상추 + 썬 토마토 + 윗 빵	Bottom Bun + Cooked Patty + Sliced Cheese + Sliced Lettuce + Sliced Tomato + Top Bun	下バンズ + 焼いたパティ + 薄切りチーズ + 薄切りレタス + 薄切りトマト + 上バンズ	
Global subroutine: Set Hint Text	39	manual-global	https://ow-restaurant.com/ko 에서\r\n이 테마의 레시피를 확인하실 수 있습니다.	View this theme's recipes at\r\nhttps://ow-restaurant.com/en	https://ow-restaurant.com/ja で\r\nこのテーマのレシピを確認できます。	
Global subroutine: Scoreboard	0	legacy-phrase	최종 점수 : 〔{0}〕	Final Score: [{0}]	最終スコア : 〔{0}〕	{0}
Global subroutine: Scoreboard	1	legacy-phrase	최고 기록 갱신!! 이 화면을 캡처하여 https://ow-restaurant.com 로 보내주세요	New Record!! Capture this screen and submit to https://ow-restaurant.com/en	ハイスコア更新!! この画面をキャプチャーしてhttps://ow-restaurant.com/jaに送ってください	
Global subroutine: Scoreboard	2	legacy-phrase	최고 기록 : 〔{0}〕	High Score: [{0}]	ハイスコア : 〔{0}〕	{0}
Global subroutine: Scoreboard	5	legacy-phrase	시간 : 〔{0}〕\r\n모드: 〔{1}〕\r\n결과: 〔{2}〕	Time: [{0}]\r\nMode: [{1}]\r\nResult: [{2}]	タイム : 〔{0}〕\r\nモード: 〔{1}〕\r\n結果: 〔{2}〕	{0} {1} {2}
Global subroutine: Scoreboard	6	legacy-phrase	{0}시간{1}분{2}초	{0}h{1}m{2}s	{0}時間{1}分{2}秒	{0} {1} {2}
Global subroutine: Scoreboard	16	legacy-phrase	클리어!	Complete!	クリア!	
Global subroutine: Scoreboard	17	legacy-phrase	Stage {0} 에서 실패	Stage {0}	Stage {0} で失敗	{0}
Global subroutine: Scoreboard	18	legacy-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕	Total Personal Income: [{0}]\r\nContribution Score: [{1}]	個人総収入 : 〔{0}〕\r\n個人活躍スコア : 〔{1}〕	{0} {1}
Global subroutine: Scoreboard	19	legacy-phrase	성공한 영업 : 〔{0}〕	Success: [{0}]	成功した営業 : 〔{0}〕	{0}
Global subroutine: Scoreboard	20	english-phrase-bridge	요리에 기여함 : 〔{0}〕\r\n칼질한 횟수 : 〔{1}〕	Cooking Mastery: [{0}]\r\nChopped: [{1}]	料理に寄与 : 〔{0}〕\r\n包丁さばきの回数 : 〔{1}〕	{0} {1}
Global subroutine: Scoreboard	21	english-phrase-bridge	환상적인 영업 : 〔{0}〕\r\n성공적인 영업 : 〔{1}〕\r\n실패한 영업 : 〔{2}〕	A-mei-zing Service: [{0}]\r\nSuccessful Service: [{1}]\r\nFailed Service: [{2}]	ファンタスティックな営業 : 〔{0}〕\r\n立派な営業 : 〔{1}〕\r\n失敗した営業 : 〔{2}〕	{0} {1} {2}
Global subroutine: Scoreboard	22	english-phrase-bridge	서빙 성공 : 〔{0}〕	Serving Success: [{0}]	サービング成功 : 〔{0}〕	{0}
Global subroutine: Scoreboard	23	english-phrase-bridge	전체 서빙 성공 : 〔{0}〕\r\n전체 서빙 실패 : 〔{1}〕	Total Serving Success: [{0}]\r\nTotal Serving Failure: [{1}]	全体サービング成功 : 〔{0}〕\r\n全体サービング失敗 : 〔{1}〕	{0} {1}
Global subroutine: Scoreboard	24	english-phrase-bridge	서빙 실수 : 〔{0}〕	Serving Mistake: [{0}]	サービングミス : 〔{0}〕	{0}
Global subroutine: Scoreboard	25	english-phrase-bridge	환상적인 서빙 : 〔{0}〕\r\n신속한 서빙 : 〔{1}〕\r\n완성도 있는 요리 : 〔{2}〕	A-mei-zing Served: [{0}]\r\nSwift Served: [{1}]\r\nWell-Prepared Dish: [{2}]	ファンタスティックなサービング : 〔{0}〕\r\n迅速なサービング : 〔{1}〕\r\n完成度の高い料理 : 〔{2}〕	{0} {1} {2}
Global subroutine: Scoreboard	26	legacy-phrase	평가 : 〔★★★★★★★〕	Rank: [SSS]	ランク : 〔★★★★★★★〕	
Global subroutine: Scoreboard	27	legacy-phrase	평가 : 〔★★★★★★〕	Rank: [S++]	ランク : 〔★★★★★★〕	
Global subroutine: Scoreboard	28	legacy-phrase	평가 : 〔★★★★★〕	Rank: [S+]	ランク : 〔★★★★★〕	
Global subroutine: Scoreboard	29	legacy-phrase	평가 : 〔★★★★☆〕	Rank: [S]	ランク : 〔★★★★☆〕	
Global subroutine: Scoreboard	30	legacy-phrase	평가 : 〔★★★☆☆〕	Rank: [A]	ランク : 〔★★★☆☆〕	
Global subroutine: Scoreboard	31	legacy-phrase	평가 : 〔★★☆☆☆〕	Rank: [B]	ランク : 〔★★☆☆☆〕	
Global subroutine: Scoreboard	32	legacy-phrase	평가 : 〔★☆☆☆☆〕	Rank: [C]	ランク : 〔★☆☆☆☆〕	
Global subroutine: Scoreboard	33	legacy-phrase	평가 : 〔☆☆☆☆☆〕	Rank: [F]	ランク : 〔☆☆☆☆☆〕	
Global subroutine: Scoreboard	36	legacy-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕\r\n요리에 기여함 : 〔{2}〕	Total Personal Income : [{0}]\r\nContribution Score : [{1}]\r\nCooking Mastery : [{2}]	個人総収入 : 〔{0}〕\r\n個人活躍スコア : 〔{1}〕\r\n料理に寄与 : 〔{2}〕	{0} {1} {2}
Global subroutine: Scoreboard	37	legacy-phrase	서빙 성공 : 〔{0}〕\r\n서빙 실수 : 〔{1}〕	Serving Success : [{0}]\r\nServing Mistake : [{1}]	サービング成功 : 〔{0}〕\r\nサービングミス : 〔{1}〕	{0} {1}
Global subroutine: Scoreboard	40	legacy-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕\r\n요리에 기여함 : 〔{2}〕	Total Personal Income : [{0}]\r\nContribution Score : [{1}]\r\nCooking Mastery : [{2}]	個人総収入 : 〔{0}〕\r\n個人活躍スコア : 〔{1}〕\r\n料理に寄与 : 〔{2}〕	{0} {1} {2}
Global subroutine: Scoreboard	41	legacy-phrase	서빙 성공 : 〔{0}〕\r\n서빙 실수 : 〔{1}〕	Serving Success : [{0}]\r\nServing Mistake : [{1}]	サービング成功 : 〔{0}〕\r\nサービングミス : 〔{1}〕	{0} {1}
Global subroutine: Scoreboard	44	legacy-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕\r\n요리에 기여함 : 〔{2}〕	Total Personal Income : [{0}]\r\nContribution Score : [{1}]\r\nCooking Mastery : [{2}]	個人総収入 : 〔{0}〕\r\n個人活躍スコア : 〔{1}〕\r\n料理に寄与 : 〔{2}〕	{0} {1} {2}
Global subroutine: Scoreboard	45	legacy-phrase	서빙 성공 : 〔{0}〕\r\n서빙 실수 : 〔{1}〕	Serving Success : [{0}]\r\nServing Mistake : [{1}]	サービング成功 : 〔{0}〕\r\nサービングミス : 〔{1}〕	{0} {1}
Global subroutine: Scoreboard	48	legacy-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕\r\n요리에 기여함 : 〔{2}〕	Total Personal Income : [{0}]\r\nContribution Score : [{1}]\r\nCooking Mastery : [{2}]	個人総収入 : 〔{0}〕\r\n個人活躍スコア : 〔{1}〕\r\n料理に寄与 : 〔{2}〕	{0} {1} {2}
Global subroutine: Scoreboard	49	legacy-phrase	서빙 성공 : 〔{0}〕\r\n서빙 실수 : 〔{1}〕	Serving Success : [{0}]\r\nServing Mistake : [{1}]	サービング成功 : 〔{0}〕\r\nサービングミス : 〔{1}〕	{0} {1}
Global subroutine: Scoreboard	52	legacy-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕\r\n요리에 기여함 : 〔{2}〕	Total Personal Income : [{0}]\r\nContribution Score : [{1}]\r\nCooking Mastery : [{2}]	個人総収入 : 〔{0}〕\r\n個人活躍スコア : 〔{1}〕\r\n料理に寄与 : 〔{2}〕	{0} {1} {2}
Global subroutine: Scoreboard	53	legacy-phrase	서빙 성공 : 〔{0}〕\r\n서빙 실수 : 〔{1}〕	Serving Success : [{0}]\r\nServing Mistake : [{1}]	サービング成功 : 〔{0}〕\r\nサービングミス : 〔{1}〕	{0} {1}
Global subroutine: Scoreboard	56	legacy-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕\r\n요리에 기여함 : 〔{2}〕	Total Personal Income : [{0}]\r\nContribution Score : [{1}]\r\nCooking Mastery : [{2}]	個人総収入 : 〔{0}〕\r\n個人活躍スコア : 〔{1}〕\r\n料理に寄与 : 〔{2}〕	{0} {1} {2}
Global subroutine: Scoreboard	57	legacy-phrase	서빙 성공 : 〔{0}〕\r\n서빙 실수 : 〔{1}〕	Serving Success : [{0}]\r\nServing Mistake : [{1}]	サービング成功 : 〔{0}〕\r\nサービングミス : 〔{1}〕	{0} {1}
Global subroutine: Other Menu	0	manual-global	로드 중...		ロード中...	
Global subroutine: Other Menu	1	manual-global	데이터 초기화 중...		データ初期化中...	
Global subroutine: Other Menu	4	legacy-phrase	연습 모드		練習モード	
